event_id,event_name,event_ts_raw,user_id,email_hash,phone,session_id,utm_source,utm_medium,campaign,device,country,order_id,amount_raw,currency,status,refund_raw,is_bot
17,PageView,2024-06-20,,e2064a62310002d355580489145e2c3b,9422806243,cdo8mvak6x7x,fb,,BRAND,iOS,UAE,,,AED,,,False
18,pv,2024-04-23T19:10:02Z,6.0,3d68d2ac089433a090dd5a9831621f16,,99ffc2nkkcx2,Facebook,Email,,android,Pakistan,,,aed,,,False
19,PageView,2024-05-29T01:24:13Z,148.0,2a2e505e7cd75a1c866d5e3966c13c4e,0640446576,8jf8cmjaq5oa,facebook,Paid Social,Ramadan2024,iOS,UAE,,,US$,,,False
20,page_view,2024/01/02 08:37,244.0,,,wkrmeepttdvl,Facebook,referral,spring_sale,web,SE,,,د.إ,,,False
21,register,2024/02/23 03:08,119.0,ea658dc71369933ecdf1d260660ca08b,,fpdaph6onjwr,unknown,referral,WELCOME,android,,,,US$,,,False
22,pv,01/28/2024 10:42,106.0,e60654ba5db285e05127aa8e7e798d2a,,cn167be17l20,Google,referral,BRAND,Web,UAE,,,aed,,,False
23,ORDER_COMPLETED,04/20/2024 08:08,307.0,,,zugk7vh6lfij,facebook,Email,ramadan,ios,AE,ORD-72648,116.28,aed,completed,,False
24,pageview,2024-01-17T00:53:11Z,416.0,97dcc8512e5940ed6f1899a10123374a,,h9onb8tntg67,Facebook,cpc,,web,PK,,,currency,,,False
25,add_to_cart,02/19/2024 14:05,307.0,564d451b74ef846dcf64d9cf4c1b64a8,,q326e7buq076,facebook,(none),WELCOME,ANDROID,,,,usd,,,False
26,PageView,2024-06-02T06:35:13Z,27.0,bb63f817cd6709f8f7cb10947797202f,,rlv23nzir8p4,(direct),paid_social,brand,web,,,,,,,False
27,PAGEVIEW,2024-01-16 16:22:30,127.0,10a8d302b7c4e4bc837f6b5c414eb61b,3912811486,7olhrsn65r2l,newsletter,CPC,,Web,UAE,,,د.إ,,,False
28,PageView,2024-06-16 08:22:54,261.0,3b8e13de1af3ce97d535d8266fa3fecd,,680nk7vi8naj,Facebook,(none),BRAND,web,uae,,,currency,,,False
29,buy,01/02/2024 02:17,95.0,fe6e8699b47aced6c8f30f7f94f7ef8d,,sk4ww4504kno,,(none),Ramadan2024,ANDROID,,ORD-14940,currency 98.61,currency,PAID,-,False
30,register,2024-02-04 17:47:30,350.0,aa821fdd37edf667293b3c8b4fd8246c,,zmbdf0xoh0t1,email,email,Ramadan2024,iOS,uae,,,aed,,,False
31,pageview,2024-04-10 07:11:09,88.0,e404d1fdd0456d3bc15dc637b967b42c,,nsf86e5vv4pd,,CPC,ramadan,Web,uae,,,USD,,,False
32,PAGEVIEW,2024-01-16 04:19:19,28.0,,,pksogk0o1n7r,email,email,ramadan,ANDROID,SE,,,US$,,,False
33,page_view,2024-05-11T14:21:37Z,160.0,6acdd7bd8bed62c388877938f1fca94d,,2p02xccmcxv7,fb,Email,,Web,uae,,,aed,,,False
34,pageview,2024-05-15 22:43:25,416.0,97dcc8512e5940ed6f1899a10123374a,,8hxpl5v5h7ci,email,CPC,BRAND,android,Sweden,,,AED,,,False
35,PAGEVIEW,16/03/2024 23:28,389.0,3352ee8277c527632b6c50086159f1c5,,dxvuh4oi2eyo,email,cpc,,web,,,,aed,,,False
36,pageview,2024-02-23 10:14:54,,0a6792d5d447028f7b80fd18969e82a1,1479140374,f7w1lqxk45d0,Facebook,Email,spring_sale,ANDROID,,,,,,,False
37,page_view,2024-02-06T16:58:13Z,330.0,8b5fc848f563ea18f453070d83b4e68b,,dzgo8frp4btl,facebook,cpc,BRAND,Web,,,,,,,False
38,PAGEVIEW,02/08/2024 16:38,200.0,,,,tiktok,email,brand,web,Sweden,,,usd,,,False
39,page_view,01/05/2024 13:29,80.0,690a16bc0102330914404511306fb18e,,l3wzxsz6nvs5,tiktok,Email,,ANDROID,uae,,,US$,,,False
40,page_view,2024-05-09,,a10195bdf33b41a68196e0eb46072172,1555602365,l7eq8iyjxgod,newsletter,,Ramadan2024,web,,,,USD,,,False
41,add_to_cart,2024-01-13T02:34:00Z,303.0,,,o8wa8gn5mq0n,,CPC,WELCOME,web,UAE,,,usd,,,False
42,pageview,2024-01-05T04:40:34Z,47.0,9235115c8f39667b16ee86ea172c1134,,9d3o02ss2x6y,newsletter,Email,,android,Pakistan,,,usd,,,False
43,create_account,2024-06-13,348.0,852fd3bfb9535c665ef19e716effece9,,dy7cz47k74df,email,referral,,iOS,UAE,,,US$,,,False
44,sign_up,2024-01-02T10:09:45Z,310.0,d7628d46b9b355e3550170fbb778e90e,4073037125,9la7ky66kish,email,paid_social,,android,AE,,,AED,,,False
45,pageview,02/21/2024 11:38,264.0,a3bc92e5354d01ce40ffc94a697adbad,,ekgezm2g0crn,email,(none),BRAND,Web,Pakistan,,,,,,False
46,PAGEVIEW,2024-03-31T19:12:29Z,74.0,b3327be6eb1968eecce8411b116d70a4,,4on8njxk2jml,unknown,(none),,web,PK,,,AED,,,False
47,PageView,09/01/2024 10:31,65.0,589d050e381062e8347b7ca9ea5e093a,7658721742,vx4q6fzhyh0y,email,paid_social,WELCOME,iOS,AE,,,currency,,,False
48,PageView,2024-03-04 06:29:55,344.0,7dda261a836fd49301c633a813589725,,ek7ls6tuo89c,TikTok,cpc,ramadan,web,AE,,,USD,,,False
49,create_account,2024-02-15T14:37:34Z,298.0,081c95fcde0b04b58506503c6a51a881,,we7eictoffj9,facebook,(none),,iOS,SE,,,aed,,,False
50,pageview,2024-02-23T09:31:23Z,239.0,5fcc110b17125b3f0ebc31bc5c7540c4,6628501074,v7phj29nbn3m,Facebook,paid_social,,ANDROID,UAE,,,US$,,,False
51,PAGEVIEW,03/12/2024 07:34,420.0,d6f054d6955b0ab7c4ec6c819c787d19,2231267932,5o8nyg6uktsa,google,paid_social,WELCOME,ios,AE,,,aed,,,False
52,pageview,2024-06-09,66.0,4cfd8b2123bf3b6626021cc2b4f08710,,lcwerefntuuu,,referral,BRAND,ANDROID,SE,,,USD,,,False
53,AddToCart,2024/06/13 08:31,70.0,479040724c62c2ef5c8bef22398dda9e,,g2oqqd0037hy,facebook,Email,SPRING_SALE,web,AE,,,currency,,,False
54,Purchase,2024/03/27 13:11,97.0,,9879492782,9xd2bhe9brhc,google,,SPRING_SALE,ANDROID,AE,ORD-87797,50.07,AED,Paid,0,False
55,BeginCheckout,2024-03-27,265.0,6ba10905e098afb05204d3af73ff7442,4437435815,tvegdte5n0wt,newsletter,organic,,iOS,PK,,,aed,,,False
56,page_view,2024-03-16,34.0,fe7ede0b4096056dccaf660168e43366,,m2c0dnmky86e,unknown,email,ramadan,web,,,,US$,,,False
57,buy,02/09/2024 05:44,285.0,70f98e0a5b65109772648f23b5a01147,1315223483,8jy2vgh6ukd7,email,Paid Social,welcome,android,SE,ORD-28995,229.6,د.إ,Paid,false,False
58,pageview,2024/03/03 10:24,312.0,99192c3533f0b684fd8185d3c2d53c0a,,cn167be17l20,Facebook,Email,spring_sale,ios,,,,US$,,,False
59,pageview,05/20/2024 02:28,265.0,fb2899f1a544719ec2ae3207df4b2336,,fldzzm766f7u,unknown,CPC,SPRING_SALE,android,AE,,,,,,False
60,begin_checkout,02/24/2024 18:29,260.0,,,bbtnmdepgvgd,Facebook,CPC,spring_sale,web,AE,,,AED,,,False
61,PageView,2024-05-26 05:02:49,,bf3896b6a7597942d0a519948a1ac166,,,Google,CPC,spring_sale,android,uae,,,usd,,,False
62,start_checkout,2024-02-22,37.0,a493f69db9a8cbeffa77489903646403,,252wfla4mt33,email,(none),BRAND,Web,SE,,,AED,,,False
63,pageview,2024-05-07 15:08:32,163.0,be94c0a0302dbb4ac46f116874567659,,vnsz17p6y7pv,Facebook,Paid Social,WELCOME,ios,AE,,,AED,,,False
64,PageView,2024-03-31,341.0,04db8603fdd59fd2b24ee0565717e307,,ge5hnkf3r680,TikTok,Paid Social,,ANDROID,,,,AED,,,False
65,PageView,2024/01/22 07:50,82.0,64e6b4074f65ee02e42d5a86b6f4dfa4,,sg9fltw8et2p,unknown,organic,ramadan,ios,,,,د.إ,,,False
66,sign_up,2024-03-19T03:59:30Z,430.0,3f0fd60127122ea8b477fda984df9e8b,,6fqkxi399exx,TikTok,cpc,Ramadan2024,iOS,uae,,,currency,,,False
67,BeginCheckout,2024-04-21 13:56:22,347.0,95a73da6441e2e4c62d9267c3b3e7c2c,,53iitznmje73,,(none),BRAND,web,PK,,,AED,,,False
68,checkout_start,2024-01-08 18:01:37,93.0,4e16e0b1602c4dd8b32c1956d64233cc,7935353642,ge5hnkf3r680,Facebook,organic,SPRING_SALE,ANDROID,Sweden,,,AED,,,False
69,PageView,2024/06/17 22:43,367.0,,6563425220,49o48hqzqf9f,(direct),referral,,android,Pakistan,,,aed,,,False
70,sign_up,2024-02-13 06:05:57,438.0,5f73ebff83675fdaebeed47545175494,,azz5274v3jsb,Google,cpc,WELCOME,Web,AE,,,USD,,,False
71,PAGEVIEW,03/29/2024 10:14,154.0,ec62c9fefdded7e19d02645f511228cf,,4gl0yyj8ym1g,unknown,,WELCOME,Web,,,,USD,,,False
72,pv,2024-03-19 08:39:30,287.0,f450b512753783e8f6776a6a547fc7a0,4597237963,9bsw6zrrnpiz,Facebook,,brand,web,SE,,,USD,,,False
73,PageView,14/03/2024 11:57,380.0,b4cb551db8920e5355dced0b837f43f2,,jt7uizhd4bwe,Facebook,Paid Social,Ramadan2024,android,Pakistan,,,US$,,,False
74,start_checkout,2024/02/14 20:31 GMT,320.0,ccaab76c6ff23b801f7ba371dc1690fa,8522281056,wry68ifb2qae,facebook,,welcome,ANDROID,uae,,,USD,,,False
75,pv,04/24/2024 21:48,186.0,6d8f3fb8629b05f1c7eac7282a61bbb2,,cepe1vqy89lz,tiktok,Paid Social,,ANDROID,UAE,,,US$,,,False
76,PAGEVIEW,2024/02/02 18:01,375.0,,4921790789,8muvl2335wwq,tiktok,(none),brand,Web,PK,,,usd,,,False
77,SignUp,10/04/2024 09:21,,f860a7d0af8ebdc0cce7e95b0acaf89b,7746337930,2kqaecr2vt5w,fb,organic,welcome,android,PK,,,aed,,,False
78,PAGEVIEW,2024-03-27T21:44:25Z,,d631536092189ed2b44be9c14df607a4,,kjrhk3ylbqis,fb,organic,brand,web,Sweden,,,US$,,,False
79,addtocart,2024-06-11T10:12:28Z,180.0,96028adda34d5d8311cef2146a7ebe68,,,google,organic,,ios,UAE,,,USD,,,False
80,PageView,16/06/2024 13:27,302.0,8849e7d3e368a08706e72124ebdb6bd5,,zz4g2ercqlsl,Google,paid_social,WELCOME,Web,,,,usd,,,False
81,PageView,2024-01-12 19:55:32,87.0,d3d7596594dd4f63a89ee06ac50186bd,,9ooaaxbzr8xi,Email,email,ramadan,iOS,SE,,,USD,,,False
82,pv,2024-02-22,273.0,0bb6aa89c87906baab8ffc2ad888f6be,,u2nx0kez6u9w,google,cpc,,iOS,Pakistan,,,,,,False
83,add_to_cart,2024-04-08,363.0,011bfbff7a1c7f04626c36067485fef7,,y3p2314n2m1x,facebook,(none),welcome,android,uae,,,usd,,,False
84,PageView,2024-04-11 23:56:38,,1a9bdb3565ad5e56c00f69b2c253ba70,,sp4unguvzfvr,Google,email,SPRING_SALE,iOS,Sweden,,,currency,,,False
85,pv,05/05/2024 11:33,413.0,b4e4e295b02823ff1464d844727f904e,,7kbpw7e63m5w,TikTok,referral,brand,iOS,Sweden,,,usd,,,False
86,begin_checkout,03/04/2024 01:52,,393c87f04658b91ed1e9194f09405fd6,,jlnvgz4s0jse,email,cpc,BRAND,iOS,Sweden,,,aed,,,False
87,pv,2024-03-29,349.0,bdee707b4d8043f25f44651e0dc47077,,qz99ls5ctcc8,Facebook,CPC,welcome,web,Sweden,,,aed,,,False
88,page_view,2024-05-06T16:30:31Z,,e777ff7c1c3047dbb06f689c342f0417,3153930210,rj5m6atyldch,,Paid Social,welcome,iOS,SE,,,USD,,,False
89,PAGEVIEW,,433.0,4d1f6ff9bff1dcad5de31eeea21af72a,1463794461,0spejmai68i1,facebook,referral,spring_sale,iOS,SE,,,aed,,,False
90,pv,2024-06-29 13:38:27,,,,s4dmaacxm9m0,,referral,,android,UAE,,,usd,,,False
91,pv,2024-01-23T11:50:43Z,368.0,36a4886e21cd4ceb7d4ce14026169244,1341563327,ogove1dvh4pn,Google,Paid Social,WELCOME,iOS,Pakistan,,,USD,,,False
92,pv,14/03/2024 09:41,449.0,,,d5uiqoui5hk1,Facebook,organic,spring_sale,ANDROID,Pakistan,,,USD,,,False
93,register,2024-05-27 11:22:55,426.0,1d22088823b0f562a727f56984b9e40d,8715445470,23ga86cho08k,facebook,Email,ramadan,web,Sweden,,,usd,,,False
94,checkout_start,2024-04-13,395.0,57a5daa73a278ae6d44ad6737bd8a341,,86k4b4sdqayn,unknown,,,ios,uae,,,currency,,,False
95,pv,2024/02/13 22:01,424.0,cc4566d4dd502d0fa0b6a5bce6659f53,2192944865,zdrzen12sg2r,email,CPC,,android,AE,,,,,,False
96,pageview,2024-02-07T17:08:22Z,84.0,a6fe35100f01f245a4f490b4ff33a103,,7y2ig67cdj4z,,Email,brand,Web,,,,USD,,,False
97,pv,2024-01-27T19:01:05Z,233.0,c4948bbb814cae6d7f51feef21440a29,1157668183,92x7yrz2j3v4,unknown,Paid Social,SPRING_SALE,ANDROID,AE,,,US$,,,False
98,pv,2024-04-11,327.0,7670fcc3229f3349a80ccab1dde1203d,,b206fsapqrne,(direct),paid_social,SPRING_SALE,ANDROID,Pakistan,,,,,,False
99,start_checkout,2024-01-13 04:56:16,34.0,fe7ede0b4096056dccaf660168e43366,8086019554,csx5fswof0ek,fb,CPC,Ramadan2024,ANDROID,AE,,,aed,,,False
100,begin_checkout,2024-01-06,350.0,aa821fdd37edf667293b3c8b4fd8246c,0321728930,uv91h7fkhciy,google,paid_social,WELCOME,iOS,AE,,,aed,,,False
101,pv,2024-01-10 06:01:47,369.0,817e72b4f9271b344ba317d5db300dc4,,td1v608sc36g,google,,,ANDROID,SE,,,currency,,,False
102,PageView,2024-04-09,391.0,6148f14a2c4cb9df2f29ad0329c8bc01,,gbjp6w7jyyrt,newsletter,cpc,spring_sale,iOS,,,,,,,False
103,PAGEVIEW,2024-01-01T07:19:49Z,162.0,9cf3bee22173583610a7b7c69268718b,,06of0sbwoe6h,Facebook,Paid Social,WELCOME,ios,Sweden,,,usd,,,False
104,pageview,27/03/2024 09:48,392.0,9e154dcc0e2ca55e00bee04e3f252c94,,6vyj6ywye19q,TikTok,Paid Social,Ramadan2024,android,UAE,,,aed,,,False
105,addtocart,2024-02-26 21:56:31,268.0,8b1f10c7174d2820b424d0d2d1d46782,,3j3ffsw3rz8l,facebook,Email,spring_sale,ios,,,,aed,,,False
106,sign_up,04/02/2024 20:07,146.0,,0785165606,f9bojlwyb15y,(direct),,WELCOME,iOS,Sweden,,,US$,,,False
107,ORDER_COMPLETED,2024-01-28 05:49:51,,,,8xm5q9ld5bs0,Google,,Ramadan2024,ANDROID,AE,ORD-10795,aed 186.94,aed,COMPLETE,no,False
108,create_account,2024/02/21 05:53,,4db3b2e32d78353329bf12b4f3bf03e0,,f9v2nnmufhka,,Paid Social,WELCOME,web,uae,,,aed,,,False
109,add-to-cart,2024-03-31,84.0,,5185597719,kox6q6bgdxdf,(direct),email,welcome,iOS,Pakistan,,,AED,,,False
110,AddToCart,2024-02-15,329.0,d9792f3b2fabb9ee07ad39418793e63b,,uv91h7fkhciy,email,(none),ramadan,iOS,AE,,,usd,,,False
111,PageView,2024-04-21T04:23:43Z,,96e14c4ad7f97d87908ef2fa517dd552,,ogove1dvh4pn,newsletter,Email,SPRING_SALE,web,AE,,,US$,,,False
112,add-to-cart,04/04/2024 17:47,7.0,aa5f6a8b09b450b2074fa3e47f822668,,,facebook,paid_social,welcome,ios,SE,,,aed,,,False
113,begin_checkout,2024-06-24,373.0,da97e9037e71a8b325554984bb62687c,5452606681,9la7ky66kish,facebook,cpc,brand,ios,uae,,,AED,,,False
114,PAGEVIEW,02/28/2024 02:33,,c564bd30199ddb447b222eaa74769ffc,1320962149,vnqt5cngtgq7,fb,Email,SPRING_SALE,web,,,,AED,,,False
115,ATC,2024-03-03,,d0b664d5519010d34432da292d08f08e,,,newsletter,Paid Social,BRAND,Web,SE,,,AED,,,False
116,pv,05/05/2024 18:17,,,1552059479,,fb,referral,,android,AE,,,USD,,,False
117,ATC,05/25/2024 08:23,253.0,5d7c5f9cf602eaa863412cb198237103,0014212333,v4xozqwxiaz6,tiktok,email,,ANDROID,AE,,,aed,,,False
118,addtocart,2024-04-29 12:55:36,332.0,5bc285cf2b3008e5cd57647eae1c10cf,,8r5kppp3lcba,Email,,BRAND,ios,SE,,,currency,,,False
119,AddToCart,2024-04-09,321.0,,7199793738,bcidsfpwdkbk,unknown,(none),,web,UAE,,,USD,,,False
120,pv,10/03/2024 16:44,138.0,,,b62a1gfskcsk,Facebook,organic,BRAND,android,,,,د.إ,,,False
121,sign_up,2024-03-18 17:06:48,170.0,c5abdd65ddf25e50b7f4e14eb6b431c7,,mxireu2xupxo,tiktok,paid_social,brand,android,,,,currency,,,False
122,pv,2024-06-26,18.0,5193faeb1e12f88a9e8b0738f2ed375f,,wz61f6qtbjpa,tiktok,referral,WELCOME,web,SE,,,usd,,,False
123,pageview,05/28/2024 09:27,32.0,d7df21bd90e717c166417f42ed2f2566,3318644515,8l10uwcwc7d9,tiktok,paid_social,WELCOME,ANDROID,Sweden,,,usd,,,False
124,pageview,19/06/2024 10:58,,,,b09c1ayegfn1,(direct),referral,,Web,AE,,,aed,,,False
125,AddToCart,19/03/2024 05:21,359.0,38640b8cba7bea70433770dcb8e8393a,,5h6vqfqgcmyu,TikTok,cpc,spring_sale,ios,AE,,,USD,,,False
126,PageView,03/20/2024 17:33,270.0,6124f7458f51f4c78402ec773e9038ad,9096793525,c2h3f7zzswty,newsletter,CPC,WELCOME,android,,,,AED,,,False
127,signup,2024-03-17T11:40:36Z,273.0,0bb6aa89c87906baab8ffc2ad888f6be,9903768379,w1tfgua0bj23,Google,paid_social,ramadan,ios,Sweden,,,USD,,,False
128,register,2024-03-12 19:38:53,318.0,8c3a299d7e5412a74dfcabd684c4febd,,70hgtm6c1p4g,Facebook,,spring_sale,android,SE,,,US$,,,False
129,page_view,05/17/2024 07:40,357.0,c6f852d74ee7492469d515a19adc773c,4747471837,4hvl61z1d1j0,Facebook,cpc,brand,ios,UAE,,,,,,False
130,purchase,2024-05-14 22:39:55,104.0,6d25f5051bb9436ef042e2fdde2f0650,,j6dy1lobjmb2,Email,organic,Ramadan2024,web,,ORD-36156,free,currency,COMPLETE,,False
131,pageview,2024-05-29,208.0,1998623dd065230e35c38aff87684be8,,sx4dwme8pqr6,Email,referral,,android,PK,,,USD,,,False
132,pv,2024/04/01 12:16,227.0,,,5oettozyv9pw,newsletter,referral,welcome,ANDROID,Pakistan,,,currency,,,False
133,pageview,29/01/2024 05:31,,df9ef5f91f664ce3f0ee17f59c8eb7a9,5603997323,4eij0hw92ogf,google,(none),SPRING_SALE,ios,Pakistan,,,,,,False
134,pageview,2024-06-25 19:11:07,347.0,95a73da6441e2e4c62d9267c3b3e7c2c,,09cqdf418hft,fb,cpc,welcome,android,,,,US$,,,False
135,PAGEVIEW,13/01/2024 23:46,,0aea7bccb61385024f267c4f50b466b3,5348899851,mw0ujruz4qm2,TikTok,CPC,,web,AE,,,US$,,,False
136,PAGEVIEW,2024-05-21,361.0,2f16186e3a129d571c351a4e3d47a354,0274863868,16c5shs5hc1k,google,organic,WELCOME,Web,AE,,,aed,,,False
137,SignUp,2024/05/31 00:44,139.0,436afe38a9179cd601ec71a8b8500b08,,ledovd1om2s3,tiktok,organic,welcome,android,UAE,,,,,,False
138,register,2024-04-24 05:35:04,7.0,aa5f6a8b09b450b2074fa3e47f822668,,5m80mfiqd59f,TikTok,organic,Ramadan2024,Web,uae,,,,,,False
139,SignUp,2024-06-07T12:20:49Z,42.0,010e3e2b7d3ecc5b611df5883eb3222b,8489130326,umqk6zv1u05y,,cpc,,Web,uae,,,,,,False
140,addtocart,2024-03-08 02:53:12,,690a16bc0102330914404511306fb18e,,51ya5292rg94,TikTok,email,BRAND,iOS,SE,,,currency,,,False
141,add_to_cart,01/25/2024 02:43,217.0,086cf5a0cc7f617856ca8aa9c2a3efa7,3986284036,1yx0ao1dpr1x,tiktok,CPC,spring_sale,android,,,,usd,,,False
142,PageView,29/04/2024 20:06,91.0,0ecee90f0d890ca97734607d1b6b2f90,,8ikpgtw0e6ud,Facebook,Paid Social,SPRING_SALE,iOS,UAE,,,د.إ,,,False
143,begin_checkout,01/27/2024 14:03,,93c99e43a2b9ade4db92d995caa93253,9363946006,1lgoteryw5g0,Facebook,Email,welcome,web,PK,,,د.إ,,,False
144,begin_checkout,2024-02-05 04:19:55,101.0,56327c3d400f3a6091be10ef50c3515d,7812599603,1t1blhdq91r6,facebook,(none),,ANDROID,UAE,,,,,,False
145,page_view,06/01/2024 17:47,336.0,d69ae1df5e5e309172050779541e4341,2050429729,vmlx7ujr5i63,fb,cpc,,Web,PK,,,US$,,,False
146,page_view,27/01/2024 16:53,126.0,2d810915031205145fcb3df614c63a18,8105014980,e9aw3w21kpl7,,email,SPRING_SALE,web,PK,,,usd,,,False
147,add-to-cart,2024-02-14 15:10:38,272.0,25992b3fd777a78d231bb0e33e009f2b,,,facebook,organic,Ramadan2024,iOS,Sweden,,,د.إ,,,False
148,PageView,19/02/2024 04:16,209.0,c5ef9506ec16e9e3c4cfacb557eddbbf,,d9707yazf8wt,Google,paid_social,SPRING_SALE,ios,PK,,,aed,,,False
149,signup,2024-04-24T11:11:03Z,132.0,cad7468a0555cc02f5dfb259d4a28b0b,7983143629,csrlmghkdg9x,fb,(none),brand,Web,UAE,,,USD,,,False
150,begin_checkout,27/02/2024 11:25,310.0,7d72a9f600bc3708866ed083587d706a,4073037125,t20y1l791ub3,fb,organic,,android,SE,,,usd,,,False
151,AddToCart,17/05/2024 09:02,155.0,6cc5056a58711e1ad6ef521df33046b4,,n5x0ohrdzvo9,unknown,,spring_sale,ANDROID,,,,د.إ,,,False
152,BeginCheckout,2024/06/01 05:38,342.0,1c695a08a6e04649dc041a143a740a50,,1rx10078qfp0,unknown,referral,,web,Pakistan,,,د.إ,,,False
153,Purchase,2024-04-03 15:11:54,335.0,62666207dbaa3b80af7949ec7722372f,,wxe7hc306z3z,tiktok,CPC,BRAND,Web,,ORD-96564,106.07,usd,PAID,false,False
154,checkout_start,2024/01/28 10:32 +0400,254.0,40230b781b9cc6b4c673061c44d01d38,,ak4fhpt119mb,google,cpc,BRAND,android,PK,,,د.إ,,,False
155,sign_up,05/11/2024 16:47,,84f690fcff860d4a381957f60502a485,9143315258,7nnv30lplq8b,,,Ramadan2024,ANDROID,PK,,,US$,,,False
156,start_checkout,2024/05/05 20:34,342.0,1c695a08a6e04649dc041a143a740a50,4882384036,x99n55rv9xuj,email,(none),BRAND,ANDROID,Sweden,,,usd,,,False
157,addtocart,2024-03-20 00:55:03,,c564bd30199ddb447b222eaa74769ffc,,8vnacicfgfde,facebook,email,WELCOME,Web,uae,,,aed,,,False
158,page_view,2024-06-09T20:37:45Z,406.0,dafc6865d57ac9bf9a8bcc44a02eecfe,,71zwgm9ojlvx,facebook,Paid Social,SPRING_SALE,ios,Sweden,,,currency,,,False
159,signup,01/17/2024 16:39,,1afd9ee2f00afcaa3afe041c9819e39a,,0rdhuyp3uoje,google,CPC,ramadan,Web,,,,aed,,,False
160,pageview,2024/04/11 14:44,257.0,ba0f1e186aa405a0726dbe5ad82a3c85,0456320970,wsmwyrfiq0p0,Email,email,ramadan,iOS,SE,,,usd,,,False
161,checkout_start,05/16/2024 21:27,108.0,d651c1f1c1a05cce8e9da6bb2d325fed,,qkjfq1jydq3p,Google,,,ANDROID,Sweden,,,US$,,,False
162,PageView,2024/04/04 22:30,282.0,6bb1daa9a4139400a855f05e7cdf2f0b,8937783129,ow2gg8zi26bm,(direct),Paid Social,SPRING_SALE,web,,,,currency,,,False
163,page_view,2024/06/13 11:34,120.0,f81b72a53854d3c003d2f897d5987bc6,6350541854,vqw2qou22tse,unknown,email,BRAND,iOS,PK,,,USD,,,False
164,add_to_cart,26/06/2024 04:27,94.0,da480454edc4d9335805dd3f2e6e0441,,td1v608sc36g,Google,CPC,,ios,AE,,,USD,,,False
165,pv,04/25/2024 17:38,112.0,597f7bd7a48d535eb8bfad4adff9cd61,,luj7uu52xh6t,newsletter,CPC,welcome,android,AE,,,,,,False
166,pageview,2024/01/28 00:26,,271d42d3dfc85f3f95a1059ccc951037,3169201284,wjdy28vegtuf,TikTok,Email,welcome,iOS,AE,,,US$,,,False
167,sign_up,09/05/2024 06:04,,,,9ooaaxbzr8xi,,,SPRING_SALE,ANDROID,Pakistan,,,USD,,,False
168,PAGEVIEW,2024-03-25 13:18:24,31.0,fe4ed0392ff18fd369e870fef8e184cb,6866143620,zk9j5qtq0mkt,google,email,welcome,android,,,,currency,,,True
